x1,x2,x3,x4a,x4b,x5,x6,x7,x8,x9a,x9b,x10,x11,x12,x13,x15,x16,x17,x18,Exposure,y
57,1,22,1,0,8.007847746,8,31,1,0,0,31.35,58,62,66,1,1,1,1,0.683252209,0
62,0,18,1,0,5.552689327,109,218,0,0,0,25,52,74,40,1,0,1,0,1.998457099,0
58,1,8,1,0,5.666692488,128,505,1,1,0,24.15,60,76,54,1,0,1,1,1.075919314,0
50,1,27,1,1,9.574361316,31,35,0,0,0,26.07,57,65,68,0,1,0,1,0.040411098,0
53,1,34,1,0,3.441590443,319,73,0,0,0,11.76,57,46,62,1,1,1,0,-0.081527521,0
70,0,7,1,1,6.546679715,71,88,0,0,1,14.64,64,71,47,0,0,1,1,0.276268767,0
66,0,12,1,1,5.68996997,10,3,0,1,0,16.14,53,62,44,1,1,1,1,0.810519135,0
56,1,35,1,0,5.443704116,238,123,0,0,0,7.5,59,76,56,1,1,1,1,-0.789856947,0
54,1,23,1,0,4.575583284,180,66,0,1,0,22.38,61,54,51,1,0,1,1,-0.606310296,0
65,0,27,1,0,3.293106542,33,3,0,0,0,22.6,48,49,59,0,1,1,1,5.548399428,1
50,1,24,1,0,3.588019314,458,21,0,0,1,23.18,49,55,54,0,0,1,0,2.940405891,1
64,0,29,0,0,11.88122199,74,25,1,0,0,9.02,62,71,47,1,0,1,1,-0.69869168,0
54,1,25,1,1,7.164554895,3,45,1,0,0,18.53,47,71,55,0,1,1,1,3.45086478,0
59,1,20,1,0,4.761687999,286,67,0,0,0,32.46,78,64,65,0,1,1,1,1.078547853,0
67,0,26,1,1,2.333543805,143,423,0,0,0,32.74,59,48,46,0,1,1,1,-1.856173903,0
41,1,21,1,1,2.861089643,0,0,1,0,0,9.78,34,54,59,0,0,0,0,4.2302962,1
47,1,16,1,0,4.973588883,9,1,1,1,0,26.36,43,53,49,0,1,1,1,0.285133723,0
53,0,12,1,0,3.209726641,585,113,1,1,0,10.77,69,48,47,1,0,1,0,-0.919185393,1
51,0,11,1,0,5.129439653,112,300,0,0,0,19.41,73,59,63,1,0,1,1,0.531658572,0
36,1,18,1,0,7.82672642,42,81,1,0,0,25.32,52,66,65,0,1,1,1,0.925592344,0
66,0,22,1,0,5.069567666,15,156,0,0,0,10.26,48,49,51,0,1,1,1,-1.513163957,0
71,0,18,1,0,6.385000719,126,711,0,1,0,5.26,45,51,51,0,0,0,0,-0.457898356,0
68,1,35,1,1,4.515428448,13,12,1,0,0,23.78,54,41,45,1,0,1,1,0.40968351,0
42,1,30,1,0,3.420498307,137,8,1,0,0,16.66,52,47,69,1,0,1,0,-0.488023414,1
42,1,33,1,0,6.181430296,8,14,0,0,0,20.08,43,47,39,1,0,1,1,-0.50491722,0
67,0,13,1,0,4.282404345,104,144,1,0,1,10.1,52,53,52,1,1,0,1,2.928550474,1
55,1,7,1,0,5.094130902,171,66,1,0,1,30.97,58,45,48,1,0,1,0,-0.544741616,1
57,1,20,1,0,3.422512654,154,105,0,0,0,35.84,47,60,65,1,0,1,0,0.66212052,0
71,0,17,1,0,7.491842522,6,21,1,0,0,27.13,54,46,58,0,0,0,1,-2.035822404,0
65,0,13,1,0,3.83670246,30,109,0,0,0,15.02,55,43,49,1,0,0,0,-0.675541472,0
49,1,40,1,0,8.107002559,0,22,0,0,0,13.91,47,45,43,1,0,1,0,-1.292678746,0
53,1,40,1,0,5.683099223,132,58,0,0,0,2,55,55,49,0,0,1,0,0.343071709,0
59,1,18,1,0,6.335062791,8,0,0,1,0,20.58,40,55,63,0,1,1,1,4.235218402,0
50,1,16,1,0,5.450970849,87,60,0,1,0,10.87,56,52,45,1,0,0,0,-1.227035137,1
42,1,16,1,0,2.472862907,896.5,135,0,1,0,17.44,73,50,68,0,0,1,1,-1.194396843,1
59,1,32,1,1,2.410674517,20,42,1,0,0,22.87,50,39,56,1,0,0,1,-0.311600957,0
67,0,12,1,0,2.175874149,65,17,0,0,0,8.28,53,47,56,1,0,1,0,1.500541591,0
34,1,15,1,1,5.996684326,35,0,0,1,0,18.92,42,62,63,0,1,1,0,0.474633762,0
59,1,23,1,1,2.573537769,45,34,1,0,0,32.07,44,52,53,1,0,0,1,-0.114965744,0
44,1,22,0,0,4.792747062,196,230,0,0,0,11.01,54,76,42,0,0,0,0,-0.68263533,0
50,1,25,0,0,8.917373225,32,158,1,0,0,9.99,40,56,68,0,1,1,1,0.417150362,0
52,1,24,1,0,3.363917266,715,87,0,0,0,1.26,66,61,45,0,0,0,0,0.737387219,0
73,0,18,1,0,1.979334169,61,10,0,0,0,25,56,42,55,1,0,0,0,-0.093315939,0
53,1,10,0,0,3.767676092,219,32,0,1,0,2.67,50,62,44,0,0,1,1,-0.925330619,0
55,1,27,1,0,3.533693577,108,43,0,0,0,20.38,47,47,49,0,1,1,1,3.729294882,0
54,1,17,0,0,7.940355864,344,72,1,0,0,11.74,64,59,49,0,1,1,1,1.10392323,0
45,1,36,1,1,3.329349702,278,101,0,0,0,10.98,59,55,50,1,0,0,1,0.808342603,1
40,1,40,1,0,6.839385715,145,92,0,0,0,11.05,71,68,62,1,0,0,0,0.242724924,1
38,1,11,1,0,2.2386882,76,61,1,1,0,2.08,52,37,61,0,1,0,1,-0.214516131,0
58,1,30,1,0,9.64237595,172,251,1,0,0,9.97,61,77,49,0,1,1,1,-0.419618628,0
72,0,12,1,0,4.17064895,24,20,1,1,0,23.82,41,59,50,0,1,1,0,0.067660414,0
48,1,27,1,0,9.551951597,0,5,0,0,0,18.09,49,63,64,1,1,0,1,-1.107802116,0
53,1,10,1,0,13.23621612,42,52,1,1,0,17.09,49,81,56,0,1,1,0,1.534050019,0
58,1,33,1,0,6.264922754,0,0,0,0,0,15.18,39,51,45,0,1,1,0,3.870918007,0
69,0,17,1,0,3.898258745,160,225,0,1,0,6.95,67,47,67,0,0,1,0,0.602606912,0
55,1,15,1,0,7.743390761,54,133,0,1,0,9.48,64,54,58,1,1,1,1,0.353969662,0
49,1,24,1,0,7.178997908,172,265,0,0,0,15.36,74,68,62,0,1,1,1,-1.011238218,0
42,1,9,1,1,7.410744144,159,120,0,0,1,14.04,64,74,40,0,1,1,1,3.702014486,1
60,1,13,1,0,3.048129466,176,70,0,1,0,15.79,64,58,36,1,1,1,1,0.009208876,0
68,0,23,1,0,4.641719404,140,113,0,0,0,20.89,61,60,50,0,0,1,1,-1.484260337,0
58,1,21,0,0,2.628008059,451,170,1,0,1,11.35,50,42,47,1,0,0,0,-1.046745672,1
69,0,17,1,1,5.596591488,224,174,0,0,1,6.22,71,68,46,1,0,1,0,-0.33984767,0
77,0,25,1,1,7.348225337,30,38,0,0,0,3.82,67,58,57,0,0,1,0,0.838230342,1
46,1,19,1,0,3.899279244,896.5,148,1,1,0,52.77,58,67,58,0,1,1,0,1.169743371,1
40,1,32,1,1,4.055963867,46,40,0,0,0,15.31,52,47,61,1,0,1,1,0.277460267,0
75,0,17,1,0,2.860410019,59,29,0,1,0,17.4,44,46,59,1,1,1,1,3.958614675,0
43,1,19,1,0,5.271325525,262,67,0,0,0,21.02,74,50,62,1,1,1,1,0.676788759,1
